X,Y,OBJECTID,FACILITY_INTERNAL_ID,FACILITY_NAME,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,ZIP_4,LAT,LON,STATE_FIPS,COUNTY,COUNTY_FIPS,TYPE_DESC,SUB_TYPE_DESC,TYPE_CODE,FACILITY_TYPE_CODE,WI_LICENSE_NUM,ASPEN_FACILITY_ID,MEDICARE_ID
-88.00453,43.186748,1,783,ALEXIAN VILLAGE OF MILWAUKEE,9255 N 76th St,,Milwaukee,WI,53223,1058,43.186748,-88.00453,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3066,8870,525523
-87.45265,44.60624,2,784,ALGOMA MEDICAL CENTER,1510 Fremont St,,Algoma,WI,54201,1948,44.60624,-87.45265,55,Kewaunee,55061,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2952,1030,525533
-88.44271,43.78671,3,785,CROSSROADS CARE CENTER OF FOND DU LAC,115 E Arndt St,,Fond Du Lac,WI,54935,2461,43.78671,-88.44271,55,Fond Du Lac,55039,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2792,2070,525270
-92.43704,44.98205,4,786,HAMMOND HEALTH SERVICES,425 Davis St,,Hammond,WI,54015,9615,44.98205,-92.43704,55,Saint Croix,55109,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3217,1050,525499
-91.920126,44.89782,5,788,AMERICAN LUTHERAN HOME-MENOMONIE,915 Elm Ave E,,Menomonie,WI,54751,1613,44.89782,-91.920126,55,Dunn,55033,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2012,1070,525480
-88.170227,44.495452,6,789,ANNA JOHN RESIDENT CENTERED CARE COMMUNITY,2901 S Overland Rd,,Oneida,WI,54155,8959,44.495452,-88.170227,55,Brown,55009,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2553,6660,525695
-91.726006,44.99187,7,791,COLFAX HEALTH AND REHABILITATION CENTER,110 Park Dr,,Colfax,WI,54730,8902,44.99187,-91.726006,55,Dunn,55033,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,1176,2260,525691
-90.890262,46.574675,8,792,ASHLAND HEALTH AND REHAB CTR,1319 Beaser Ave,,Ashland,WI,54806,3614,46.574675,-90.890262,55,Ashland,55003,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3204,1140,525386
-91.128931,44.688647,9,793,AUGUSTA HEALTH AND REHABILITATION,901 Bridge Creek Ln,,Augusta,WI,54722,2603,44.688647,-91.128931,55,Eau Claire,55035,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2083,1160,525535
-89.51567,42.996,10,794,BADGER PRAIRIE HCC,1100 E Verona Ave,,Verona,WI,53593,8717,42.996,-89.51567,55,Dane,55025,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2969,2710,525516
-92.370689,44.958411,11,795,BALDWIN CARE CENTER,650 Birch St,,Baldwin,WI,54002,9348,44.958411,-92.370689,55,Saint Croix,55109,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2285,5820,525502
-91.75796,45.51159,12,796,DOVE HEALTHCARE - RICE LAKE,910 Bear Paw Ave,,Rice Lake,WI,54868,1388,45.51159,-91.75796,55,Barron,55005,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2021,1410,525715
-91.849867,45.407914,13,797,BARRON CARE AND REHABILITATION,660 E Birch Ave,,Barron,WI,54812,9130,45.407914,-91.849867,55,Barron,55005,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3038,1420,525648
-88.830857,43.445192,14,798,DYCORA TRANSITIONAL HEALTH - BEAVER DAM,410 Roedl Ct,,Beaver Dam,WI,53916,2934,43.445192,-88.830857,55,Dodge,55027,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2695,1450,525338
-89.313706,43.095409,15,803,BELMONT NURSING AND REHAB CTR,110 Belmont Rd,,Madison,WI,53714,3129,43.095409,-89.313706,55,Dane,55025,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3153,2280,525074
-89.01085,42.547454,16,804,THE GREEN KNOLLS AT BELOIT,1905 W Hart Rd,,Beloit,WI,53511,2230,42.547454,-89.01085,55,Rock,55105,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3187,1500,525273
-89.08349,44.34421,17,805,BETHANY HOME,1226 Berlin St,,Waupaca,WI,54981,1991,44.34421,-89.08349,55,Waupaca,55135,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,963,1540,525538
-91.218728,43.769199,18,806,BETHANY ST JOSEPH CARE CTR,2501 Shelby Rd,,La Crosse,WI,54601,8037,43.769199,-91.218728,55,La Crosse,55063,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2540,1550,525265
-91.245676,43.786241,19,807,BETHANY RIVERSIDE,2575 7th St S,,La Crosse,WI,54601,5249,43.786241,-91.245676,55,La Crosse,55063,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2707,1760,525455
-88.57443,44.02075,20,808,BETHEL HOME AND SERVICES,614 S Rock Ave,,Viroqua,WI,54665,1936,44.02075,-88.57443,55,Vernon,55123,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,595,1580,525591
-90.891122,43.550844,21,809,BETHEL HOME,225 N Eagle St,,Oshkosh,WI,54902,4125,43.550844,-90.891122,55,Winnebago,55139,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2005,1590,525554
-92.10183,46.69487,22,811,TWIN PORTS HEALTH SERVICES,1612 N 37th St,,Superior,WI,54880,5404,46.69487,-92.10183,55,Douglas,55031,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2900,5720,525370
-87.993919,43.161729,23,812,VILLA AT BRADLEY ESTATES (THE),6735 W Bradley Rd,,Milwaukee,WI,53223,3325,43.161729,-87.993919,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2684,1680,525325
-88.697289,43.198574,24,814,DYCORA TRANSITIONAL HEALTH - WATERTOWN,121 Hospital Dr,,Watertown,WI,53098,3303,43.198574,-88.697289,55,Dodge,55027,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2696,9330,525333
-88.590548,44.765792,25,815,ATRIUM POST ACUTE CARE OF SHAWANO AT BIRCH HILL,1475 Birch Hill Ln,,Shawano,WI,54166,3707,44.765792,-88.590548,55,Shawano,55115,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2895,1620,525412
-90.228621,42.961822,26,816,BLOOMFIELD HEALTHCARE AND REHAB CENTER,3151 County Road Ch,,Dodgeville,WI,53533,9108,42.961822,-90.228621,55,Iowa,55049,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2364,1650,525474
-87.97592,44.50497,27,817,BORNEMANN NURSING HOME,226 Bornemann St,,Green Bay,WI,54302,3502,44.50497,-87.97592,55,Brown,55009,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2963,1670,525571
-87.85229,42.60312,28,818,BROOKSIDE CARE CENTER,3506 Washington Rd,,Kenosha,WI,53144,1654,42.60312,-87.85229,55,Kenosha,55059,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3155,1700,525556
-87.924616,44.522305,29,819,BROWN CTY COMM TREATMENT CTR-BAYSHORE VILLAGE,3150 Gershwin Dr,,Green Bay,WI,54311,4328,44.522305,-87.924616,55,Brown,55009,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2405,1710,525693
-92.686767,45.774397,30,820,BURNETT MEDICAL CENTER,257 W Saint George Ave,,Grantsburg,WI,54840,7827,45.774397,-92.686767,55,Burnett,55013,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2197,1740,525558
-88.09103,43.9466,31,821,ATRIUM POST ACUTE CARE OF NEW HOLSTEIN,1712 Monroe St,,New Holstein,WI,53061,1307,43.9466,-88.09103,55,Calumet,55015,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2366,2020,525546
-87.948556,42.939785,32,822,AUTUMN LAKE HEALTHCARE AT GREENFIELD,5790 S 27th St,,Milwaukee,WI,53221,4129,42.939785,-87.948556,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2230,2030,525504
-88.167361,43.054843,33,824,CARE AGE OF BROOKFIELD,1755 N Barker Rd,,Brookfield,WI,53045,1801,43.054843,-88.167361,55,Waukesha,55133,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3121,1200,525519
-89.05649,42.65627,34,825,CEDAR CREST HEALTH CENTER,1702 S River Rd,,Janesville,WI,53546,5648,42.65627,-89.05649,55,Rock,55105,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2201,2090,525649
-88.243453,43.392928,35,826,CEDAR LAKE HEALTH AND REHAB CENTER,5595 County Road Z,,West Bend,WI,53095,9224,43.392928,-88.243453,55,Washington,55131,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,705,2100,525465
-87.981343,43.284059,36,827,CEDARBURG HEALTH SERVICES,N27W5707 Lincoln Blvd,,Cedarburg,WI,53012,2852,43.284059,-87.981343,55,Ozaukee,55089,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3156,4180,525578
-91.386841,44.915888,37,829,CHIPPEWA MANOR NURSING AND REHABILITATION,222 Chapman Rd,,Chippewa Falls,WI,54729,3253,44.915888,-91.386841,55,Chippewa,55017,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2627,2160,525419
-92.738101,44.971095,38,830,CHRISTIAN COMMUNITY HOME,1320 Wisconsin St,,Hudson,WI,54016,1861,44.971095,-92.738101,55,Saint Croix,55109,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2664,2500,525626
-88.739231,43.628496,39,831,CHRISTIAN HOME AND REHAB CTR,331 Bly St,,Waupun,WI,53963,1974,43.628496,-88.739231,55,Dodge,55027,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,525,2180,525531
-87.828546,42.58008,40,834,CLAIRIDGE HOUSE,1519 60th St,,Kenosha,WI,53140,3954,42.58008,-87.828546,55,Kenosha,55059,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2823,5860,525431
-91.516794,44.796221,41,835,CLEARWATER CARE CENTER,2120 Heights Dr,,Eau Claire,WI,54701,6142,44.796221,-91.516794,55,Eau Claire,55035,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3224,3040,525364
-90.524239,44.945486,42,836,CLARK COUNTY REHABILITATION & LIVING CENTER,W4266 County Rd N # X,,Owen,WI,54460,8505,44.945486,-90.524239,55,Clark,55019,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2387,2210,525403
-88.6987,43.414346,43,837,CLEARVIEW,198 County Road Df,,Juneau,WI,53039,9515,43.414346,-88.6987,55,Dodge,55027,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2380,2760,525453
-88.029587,42.97228,44,839,CLEMENT MANOR HEALTH CARE CENTER,3939 S 92nd St,,Greenfield,WI,53228,2140,42.97228,-88.029587,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2724,2490,525327
-90.325014,44.918033,45,840,COLONIAL CENTER,702 W Dolf St,,Colby,WI,54421,9604,44.918033,-90.325014,55,Clark,55019,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3080,2270,525350
-87.930545,43.130704,46,841,DYCORA TRANSITIONAL HEALTH - MILWAUKEE,1616 W Bender Rd,,Glendale,WI,53209,3802,43.130704,-87.930545,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3178,2300,525309
-89.614433,44.97456,47,842,BAY AT COLONIAL MANOR  HEALTH AND REHAB (THE),1010 E Wausau Ave,,Wausau,WI,54403,3101,44.97456,-89.614433,55,Marathon,55073,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3234,2290,525405
-89.312966,43.496424,48,844,COLUMBIA HEALTH CARE CENTER,323 W Monroe St,PO Box 895,Wyocena,WI,53969,895,43.496424,-89.312966,55,Columbia,55021,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2418,2310,525372
-89.030889,43.332587,49,845,COLUMBUS HEALTH AND REHAB,825 Western Ave,,Columbus,WI,53925,1675,43.332587,-89.030889,55,Columbia,55021,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3116,2320,525445
-91.89695,45.825496,50,846,MAPLE RIDGE CARE CENTER,510 1st St,,Spooner,WI,54801,1241,45.825496,-91.89695,55,Washburn,55129,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,1164,2330,525673
-90.313591,44.944702,51,848,DYCORA TRANSITIONAL HEALTH - ABBOTSFORD,600 E Elm St,,Abbotsford,WI,54405,9682,44.944702,-90.313591,55,Marathon,55073,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2874,2380,525435
-89.005838,43.533082,52,849,RANDOLPH HEALTH SERVICES,502 S High St,,Randolph,WI,53956,1499,43.533082,-89.005838,55,Dodge,55027,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2290,2370,525355
-91.14385,45.1706,53,850,CORNELL HEALTH SERVICES,320 N 7th St,,Cornell,WI,54732,8120,45.1706,-91.14385,55,Chippewa,55017,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3216,2390,525637
-88.824552,42.994172,54,851,"ALDEN ESTATES OF COUNTRYSIDE, INC",1130 Collins Rd,,Jefferson,WI,53549,2939,42.994172,-88.824552,55,Jefferson,55055,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2390,2410,525271
-90.893195,46.586354,55,852,COURT MANOR HEALTH SERVICES,911 3rd St W,,Ashland,WI,54806,1311,46.586354,-90.893195,55,Ashland,55003,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2731,2420,525328
-89.068209,44.342153,56,854,CROSSROADS CARE CENTER OF CRYSTAL RIVER,1401 Churchill St,,Waupaca,WI,54981,2027,44.342153,-89.068209,55,Waupaca,55135,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2800,7680,525339
-92.029549,45.531037,57,855,CARE AND REHAB - CUMBERLAND,1100 7th Ave,,Cumberland,WI,54829,9138,45.531037,-92.029549,55,Barron,55005,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,952,2460,525712
-89.466466,43.566631,58,857,TIVOLI AT DIVINE SAVIOR HEALTHCARE,2805 Hunters Trl,,Portage,WI,53901,3429,43.566631,-89.466466,55,Columbia,55021,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2018,2750,525518
-87.35363,44.83266,59,858,DOOR COUNTY MEDICAL CENTER SNF,323 S 18th Ave,,Sturgeon Bay,WI,54235,1401,44.83266,-87.35363,55,Door,55029,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2196,2770,525377
-87.372498,44.838863,60,859,STURGEON BAY HEALTH SERVICES,200 N 7th Ave,,Sturgeon Bay,WI,54235,1708,44.838863,-87.372498,55,Door,55029,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2681,2780,525306
-91.529681,44.834262,61,860,DOVE HEALTHCARE-WEST,1405 Truax Blvd,,Eau Claire,WI,54703,1474,44.834262,-91.529681,55,Eau Claire,55035,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3195,2470,525387
-89.735116,45.881611,62,861,"AVANTI HEALTH AND REHABILITATION CENTER, LLC",9969 Old Highway 70,,Minocqua,WI,54548,9010,45.881611,-89.735116,55,Oneida,55085,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2629,2810,525678
-91.890921,44.88747,63,862,NEIGHBORS - CENTRAL NEIGHBORHOOD (THE),2901 Forbes Ave,,Menomonie,WI,54751,1519,44.88747,-91.890921,55,Dunn,55033,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2356,2800,525433
-89.13502,45.14273,64,864,BAY AT EASTVIEW HEALTH AND REHABILITATION (THE),729 Park St,,Antigo,WI,54409,2745,45.14273,-89.13502,55,Langlade,55067,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3233,8600,525410
-89.862903,44.35718,65,865,EDGEWATER HAVEN NURSING HOME,1351 Wisconsin River Dr,,Port Edwards,WI,54469,1041,44.35718,-89.862903,55,Wood,55141,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2369,3060,525088
-89.993268,43.554085,66,866,RIDGEVIEW TERRACE LONG TERM CARE,2350 N Dewey Ave,,Reedsburg,WI,53959,2316,43.554085,-89.993268,55,Sauk,55111,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2297,3080,525667
-92.488245,44.738659,67,867,ATRIUM POST ACUTE CARE OF ELLSWORTH,403 N Maple St,,Ellsworth,WI,54011,9037,44.738659,-92.488245,55,Pierce,55093,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3146,7160,525483
-89.312674,42.782685,68,868,EVANSVILLE MANOR NURSING AND REHAB,470 Garfield Ave,,Evansville,WI,53536,1014,42.782685,-89.312674,55,Rock,55105,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2259,2360,525418
-88.59757,44.765863,69,869,ATRIUM POST ACUTE CARE OF SHAWANO AT EVERGREEN,1250 S Evergreen St,,Shawano,WI,54166,3514,44.765863,-88.59757,55,Shawano,55115,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2896,3120,525343
-88.57406,44.03133,70,870,EVERGREEN HEALTH CENTER,1130 N Westfield St,,Oshkosh,WI,54902,3217,44.03133,-88.57406,55,Winnebago,55139,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2057,3130,525647
-90.07437,43.78291,71,871,FAIR VIEW NURSING AND REHABILITATION CENTER,1050 Division St,,Mauston,WI,53948,1931,43.78291,-90.07437,55,Juneau,55057,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2650,4130,525437
-88.73597,42.83824,72,873,FAIRHAVEN CORPORATION,435 W Starin Rd,,Whitewater,WI,53190,1133,42.83824,-88.73597,55,Walworth,55127,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,1039,3310,525587
-88.14888,44.882099,73,875,ATRIUM POST ACUTE CARE OF OCONTO FALLS,100 E Highland Dr,,Oconto Falls,WI,54154,1001,44.882099,-88.14888,55,Oconto,55083,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2727,3340,525449
-90.865522,44.29552,74,876,ATRIUM POST ACUTE CARE OF BLACK RIVER FALLS,1311 Tyler St,,Black River Falls,WI,54615,1564,44.29552,-90.865522,55,Jackson,55053,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3211,3360,525488
-89.801772,44.408077,75,877,EDENBROOK OF WISCONSIN RAPIDS,130 Strawberry Ln,,Wisconsin Rapids,WI,54494,2156,44.408077,-89.801772,55,Wood,55141,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3236,3410,525429
-90.663032,42.982852,76,878,GOOD SAMARITAN SOCIETY-FENNIMORE,1850 11th St,,Fennimore,WI,53809,1612,42.982852,-90.663032,55,Grant,55043,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2062,3430,525425
-88.250152,45.927711,77,879,FLORENCE HEALTH SERVICES,5778 Chapin St,,Florence,WI,54121,9443,45.927711,-88.250152,55,Florence,55037,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2909,9360,525358
-88.44937,43.78541,78,881,FOND DU LAC LUTHERAN HOME,244 N Macy St,,Fond Du Lac,WI,54935,3362,43.78541,-88.44937,55,Fond Du Lac,55039,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,47,3440,525655
-88.829063,42.934288,79,882,DYCORA TRANSITIONAL HEALTH - FORT ATKINSON,430 Wilcox St,,Fort Atkinson,WI,53538,1968,42.934288,-88.829063,55,Jefferson,55055,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2683,3470,525262
-89.52986,42.98745800000011,80,883,FOUR WINDS MANOR,303 S Jefferson St,,Verona,WI,53593,1415,42.987458,-89.52986,55,Dane,55025,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,1002,3480,525656
-88.396786,44.289156,81,884,BRIDGES OF APPLETON (THE),2915 N Meade St,,Appleton,WI,54911,1509,44.289156,-88.396786,55,Outagamie,55087,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2943,1120,525484
-87.86342,42.896602,82,885,CHI FRANCISCAN VILLA,3601 S Chicago Ave,,South Milwaukee,WI,53172,3708,42.896602,-87.86342,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2185,3520,525526
-88.155076,43.061222,83,886,FRANCISCAN WOODS,19525 W North Ave,,Brookfield,WI,53045,4107,43.061222,-88.155076,55,Waukesha,55133,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3129,3510,525528
-92.463713,45.64421,84,887,FREDERIC NURSING AND REHAB COMMUNITY,205 United Way,,Frederic,WI,54837,8938,45.64421,-92.463713,55,Polk,55095,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3086,3490,525665
-89.428346,45.629261,85,888,FRIENDLY VILLAGE NURSING AND REHAB CENTER,900 Boyce Dr,,Rhinelander,WI,54501,3835,45.629261,-89.428346,55,Oneida,55085,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2751,3500,525459
-88.00163,43.17141,86,889,BRIA OF TRINITY VILLAGE,7500 W Dean Rd,,Milwaukee,WI,53223,2638,43.17141,-88.00163,55,Milwaukee,55079,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2444,3530,525498
-88.422361,42.58921,87,890,GENEVA LAKE MANOR,211 S Curtis St,,Lake Geneva,WI,53147,2052,42.58921,-88.422361,55,Walworth,55127,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2693,5030,525565
-92.162941,45.059277,88,892,GLENHAVEN,612 E Oak St,,Glenwood City,WI,54013,8520,45.059277,-92.162941,55,Saint Croix,55109,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,852,3760,525602
-92.36576,45.3035,89,893,GOLDEN AGE MANOR,220 Scholl Ct,,Amery,WI,54001,1440,45.3035,-92.36576,55,Polk,55095,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2376,3800,525507
-89.717549,45.473945,90,894,TOMAHAWK HEALTH SERVICES,720 E King Rd,,Tomahawk,WI,54487,1513,45.473945,-89.717549,55,Lincoln,55069,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2733,3810,525334
-88.322167,44.524371,91,895,GOOD SHEPHERD SERVICES LTD,607 E Bronson Rd,,Seymour,WI,54165,1040,44.524371,-88.322167,55,Outagamie,55087,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,2659,3940,525509
-88.058099,44.531042,92,896,GRANCARE NURSING CENTER,1555 Dousman St,,Green Bay,WI,54303,3207,44.531042,-88.058099,55,Brown,55009,NURSING HOME (NH),SNF/NF DUAL CERT,2,21,3131,3840,525486
